 rho,v,p
   1.0000000000000000      ,   8.1049584507959085E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1049584507959085E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1049517177871158E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1049517177871158E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1049448992152300E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1049448992152300E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1049379940275150E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1049379940275150E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1049310011495016E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1049310011495016E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1049239194805700E-017 ,  0.99999999999999978     
